這樣也沒太多機會出去玩與花錢 這樣也沒太多機會出去玩花錢
自己從來沒碰到過 自己從來沒碰到
不過他們不是將一部分學習的時間犧牲給工作 不過他們不是一部分學習的時間犧牲給工作
我的同學裡很多人都有打工的經驗 我的同學很多人都有打工的經驗
此時很容易對周邊的人產生懷疑 此時很容易對周邊的人懷疑
真的有人偷手機 真的有人偷的手機
誰是寶貝之偷竊者 是寶貝之偷竊者
仍然毫無結果 而仍然毫無結果
經濟發展強勢那國才是發展國家 經濟發展那國才是發展國家
所以就我的想法 所以就我想法
那時大家的生活才會更好更有意義 那時大家的生活更好更有意義
外國人也覺得台灣的交通這麼方便這麼蓬勃發展 外國人也覺得台灣的交通這麼方便這麼發展
台灣的經濟一步一步發展 台灣的經濟一步一步得發展
這樣的結果 的結果
這不完全對 這不是完全對
學生通過打工了解社會是如何 學生通過打工了解社會如何
這一點不但是主人 這一點不但主人
我想你很快會忘記這件事情的 我想你很快會忘記這件事情
希望你的心情比較好點 希望你的心情比較好
在這樣的情況下 在這樣的情況
所以你擔心什麼 所以你要擔心什麼
美英的朋友 美英朋友
往好的方面想 好的方面想
所以如果他誤認了你 所以如果他誤認為了你
所以在一時情急下 所以在一時的情急下
因為我們好像很久沒有聯絡了 因為我們好像很久沒有聯絡
他後來也對我說抱歉 他後來也對我抱歉
來面對景氣不好時 來面對景氣不好
也能幹自己不熟悉的工作 也能幹自己的工作
更何況要立即學會的 更何況立即學會的
大部分的大學生才開始打工 大部分的大學生才能開始打工
因此在負起自己的責任的前提下 因此在負起自己責任的前提下
不僅是不景氣 不僅不景氣
記得要來參加我的生日會喔 記得要來參加我的生日喔
回想一下我們高中的快樂時光 回想一下我們高中快樂時光
來參加我生日會跟我喝兩杯 來參加我生日跟我喝兩杯
我生日不能少了你－我最好的兄弟 我生日不能少你－我最好的兄弟
無薪假等的事情都是常見的 無薪假等的事情都是常見
是關於死活的事 是死活的事
更好的人 完全更好的人
因為阿根廷從一九九八年開始就有經濟的問題所以現在的情形是更嚴重的 因為阿根廷從一九九八年開始有經濟的問題所以現在的情形是更嚴重的
我朋友的爸爸以前是比較專業的醫生 我朋友的爸爸以前是比較專業的一種醫生
也許你在西非會更誇張吧 也許你在西非會更誇張了吧
不久以後就被國際的紅酒雜誌發現 不久以後就被國際的紅酒雜誌發現的
隨時都可能被取代 隨時都被取代
尤其是醫療方面相關系所的學費 尤其是醫療方面系所的學費
大家都不會信賴的 大家都不會信賴
你叫別人幫你買東西 你叫別人幫你買東西給你
除非是非常有錢的人外 除非是非常有錢人外
這是非常普遍的現象 非常普遍的現象
我就幫他買回宿舍 我就幫他買回到宿舍
我以前也有遇過跟你類似的這種情況 我以前也有遇過跟你類似這種情況
不但會上網 不但上網
然後跟那位中國朋友慢慢聊天 然後跟那中國朋友慢慢聊天
有的時候我教他韓文 有的時候我教他韓文了
比較容易變成關係好的朋友 比較容易變成關係的朋友
他們快快樂樂地玩了半天 他們快快樂樂地玩半天
好面對這些惡劣廠商 好以面對這些惡劣廠商
明目張膽地檢查你的包包 明目張膽地檢查你的包包裡
但由於其販賣的產品不如其所言 但由於其賣的產品不如其所言
而且更嚴重的情況你將會面臨的 而且更嚴重的情況你會面臨的
我跟妳是一起進游泳池裡的 我跟妳是一起進去游泳池裡的
